[12:08:03] [RUN exp1_baseline] START Training 50000 steps | hp={'learning_rate': 0.0001, 'gamma': 0.99, 'batch_size': 32, 'buffer_size': 100000, 'train_freq': 4, 'gradient_steps': 1, 'target_update_interval': 10000, 'exploration_fraction': 0.1, 'exploration_initial_eps': 1.0, 'exploration_final_eps': 0.01, 'verbose': 0}
[12:08:03] [RUN exp1_baseline] logging started
[12:08:12] [RUN exp1_baseline] t=209 | episode_end len=854 reward=-21.00 | eps=0.9588
[12:12:49] [RUN exp1_baseline] t=4135 | episode_end len=881 reward=-21.00 | eps=0.1815
[12:12:59] [RUN exp1_baseline] t=4325 | episode_end len=782 reward=-21.00 | eps=0.1438
[12:13:09] [RUN exp1_baseline] t=4508 | episode_end len=764 reward=-21.00 | eps=0.1076
[12:13:18] [RUN exp1_baseline] t=4691 | episode_end len=764 reward=-21.00 | eps=0.0714
[12:13:28] [RUN exp1_baseline] t=4875 | episode_end len=764 reward=-21.00 | eps=0.0349
[12:13:41] [RUN exp1_baseline] t=5064 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:13:53] [RUN exp1_baseline] t=5249 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:14:08] [RUN exp1_baseline] t=5437 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:14:25] [RUN exp1_baseline] t=5641 | episode_end len=825 reward=-21.00 | eps=0.0100
[12:14:38] [RUN exp1_baseline] t=5830 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:14:55] [RUN exp1_baseline] t=6015 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:15:17] [RUN exp1_baseline] t=6203 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:15:37] [RUN exp1_baseline] t=6410 | episode_end len=843 reward=-20.00 | eps=0.0100
[12:15:54] [RUN exp1_baseline] t=6598 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:16:07] [RUN exp1_baseline] t=6780 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:16:24] [RUN exp1_baseline] t=6982 | episode_end len=844 reward=-20.00 | eps=0.0100
[12:16:43] [RUN exp1_baseline] t=7205 | episode_end len=913 reward=-21.00 | eps=0.0100
[12:17:01] [RUN exp1_baseline] t=7393 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:17:21] [RUN exp1_baseline] t=7577 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:17:40] [RUN exp1_baseline] t=7759 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:17:57] [RUN exp1_baseline] t=7963 | episode_end len=835 reward=-21.00 | eps=0.0100
[12:18:13] [RUN exp1_baseline] t=8157 | episode_end len=792 reward=-21.00 | eps=0.0100
[12:18:33] [RUN exp1_baseline] t=8350 | episode_end len=792 reward=-21.00 | eps=0.0100
[12:18:51] [RUN exp1_baseline] t=8542 | episode_end len=782 reward=-21.00 | eps=0.0100
[12:19:10] [RUN exp1_baseline] t=8747 | episode_end len=853 reward=-21.00 | eps=0.0100
[12:19:26] [RUN exp1_baseline] t=8930 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:19:46] [RUN exp1_baseline] t=9152 | episode_end len=914 reward=-21.00 | eps=0.0100
[12:19:56] [RUN exp1_baseline] t=9355 | episode_end len=824 reward=-21.00 | eps=0.0100
[12:20:06] [RUN exp1_baseline] t=9549 | episode_end len=792 reward=-21.00 | eps=0.0100
[12:20:13] [RUN exp1_baseline] t=9736 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:20:20] [RUN exp1_baseline] t=9932 | episode_end len=792 reward=-21.00 | eps=0.0100
[12:20:27] [RUN exp1_baseline] t=10115 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:20:34] [RUN exp1_baseline] t=10297 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:20:43] [RUN exp1_baseline] t=10482 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:20:53] [RUN exp1_baseline] t=10739 | episode_end len=1035 reward=-19.00 | eps=0.0100
[12:21:01] [RUN exp1_baseline] t=10954 | episode_end len=867 reward=-21.00 | eps=0.0100
[12:21:09] [RUN exp1_baseline] t=11167 | episode_end len=871 reward=-20.00 | eps=0.0100
[12:21:15] [RUN exp1_baseline] t=11359 | episode_end len=792 reward=-21.00 | eps=0.0100
[12:21:22] [RUN exp1_baseline] t=11557 | episode_end len=811 reward=-21.00 | eps=0.0100
[12:21:30] [RUN exp1_baseline] t=11753 | episode_end len=792 reward=-21.00 | eps=0.0100
[12:21:39] [RUN exp1_baseline] t=11949 | episode_end len=820 reward=-21.00 | eps=0.0100
[12:21:45] [RUN exp1_baseline] t=12134 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:21:52] [RUN exp1_baseline] t=12324 | episode_end len=782 reward=-21.00 | eps=0.0100
[12:21:59] [RUN exp1_baseline] t=12522 | episode_end len=820 reward=-21.00 | eps=0.0100
[12:22:10] [RUN exp1_baseline] t=12710 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:22:17] [RUN exp1_baseline] t=12898 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:22:28] [RUN exp1_baseline] t=13151 | episode_end len=1043 reward=-19.00 | eps=0.0100
[12:22:35] [RUN exp1_baseline] t=13338 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:22:46] [RUN exp1_baseline] t=13580 | episode_end len=1000 reward=-19.00 | eps=0.0100
[12:22:52] [RUN exp1_baseline] t=13771 | episode_end len=792 reward=-21.00 | eps=0.0100
[12:23:00] [RUN exp1_baseline] t=13957 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:23:07] [RUN exp1_baseline] t=14169 | episode_end len=885 reward=-21.00 | eps=0.0100
[12:23:17] [RUN exp1_baseline] t=14367 | episode_end len=825 reward=-21.00 | eps=0.0100
[12:23:28] [RUN exp1_baseline] t=14612 | episode_end len=1000 reward=-19.00 | eps=0.0100
[12:23:37] [RUN exp1_baseline] t=14809 | episode_end len=824 reward=-21.00 | eps=0.0100
[12:23:47] [RUN exp1_baseline] t=14992 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:23:57] [RUN exp1_baseline] t=15177 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:24:12] [RUN exp1_baseline] t=15410 | episode_end len=946 reward=-21.00 | eps=0.0100
[12:24:24] [RUN exp1_baseline] t=15664 | episode_end len=1043 reward=-20.00 | eps=0.0100
[12:24:31] [RUN exp1_baseline] t=15862 | episode_end len=810 reward=-21.00 | eps=0.0100
[12:24:41] [RUN exp1_baseline] t=16063 | episode_end len=820 reward=-21.00 | eps=0.0100
[12:24:48] [RUN exp1_baseline] t=16247 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:24:54] [RUN exp1_baseline] t=16436 | episode_end len=792 reward=-21.00 | eps=0.0100
[12:25:00] [RUN exp1_baseline] t=16619 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:25:07] [RUN exp1_baseline] t=16805 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:25:16] [RUN exp1_baseline] t=17016 | episode_end len=853 reward=-21.00 | eps=0.0100
[12:25:22] [RUN exp1_baseline] t=17204 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:25:29] [RUN exp1_baseline] t=17387 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:25:36] [RUN exp1_baseline] t=17595 | episode_end len=861 reward=-20.00 | eps=0.0100
[12:25:42] [RUN exp1_baseline] t=17783 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:25:50] [RUN exp1_baseline] t=17970 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:25:56] [RUN exp1_baseline] t=18156 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:26:01] [RUN exp1_baseline] t=18344 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:26:07] [RUN exp1_baseline] t=18530 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:26:13] [RUN exp1_baseline] t=18732 | episode_end len=825 reward=-21.00 | eps=0.0100
[12:26:19] [RUN exp1_baseline] t=18917 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:26:29] [RUN exp1_baseline] t=19119 | episode_end len=824 reward=-21.00 | eps=0.0100
[12:26:37] [RUN exp1_baseline] t=19354 | episode_end len=963 reward=-21.00 | eps=0.0100
[12:26:43] [RUN exp1_baseline] t=19564 | episode_end len=870 reward=-21.00 | eps=0.0100
[12:26:49] [RUN exp1_baseline] t=19764 | episode_end len=824 reward=-21.00 | eps=0.0100
[12:26:54] [RUN exp1_baseline] t=19946 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:27:00] [RUN exp1_baseline] t=20165 | episode_end len=902 reward=-21.00 | eps=0.0100
[12:27:06] [RUN exp1_baseline] t=20354 | episode_end len=793 reward=-21.00 | eps=0.0100
[12:27:12] [RUN exp1_baseline] t=20562 | episode_end len=853 reward=-21.00 | eps=0.0100
[12:27:21] [RUN exp1_baseline] t=20795 | episode_end len=949 reward=-20.00 | eps=0.0100
[12:27:28] [RUN exp1_baseline] t=20985 | episode_end len=793 reward=-21.00 | eps=0.0100
[12:27:34] [RUN exp1_baseline] t=21205 | episode_end len=903 reward=-20.00 | eps=0.0100
[12:27:41] [RUN exp1_baseline] t=21459 | episode_end len=1043 reward=-19.00 | eps=0.0100
[12:27:46] [RUN exp1_baseline] t=21642 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:27:52] [RUN exp1_baseline] t=21862 | episode_end len=903 reward=-20.00 | eps=0.0100
[12:27:59] [RUN exp1_baseline] t=22048 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:28:07] [RUN exp1_baseline] t=22347 | episode_end len=1207 reward=-20.00 | eps=0.0100
[12:28:13] [RUN exp1_baseline] t=22559 | episode_end len=870 reward=-21.00 | eps=0.0100
[12:28:20] [RUN exp1_baseline] t=22782 | episode_end len=913 reward=-21.00 | eps=0.0100
[12:28:26] [RUN exp1_baseline] t=22969 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:28:33] [RUN exp1_baseline] t=23169 | episode_end len=824 reward=-21.00 | eps=0.0100
[12:28:42] [RUN exp1_baseline] t=23412 | episode_end len=981 reward=-20.00 | eps=0.0100
[12:28:49] [RUN exp1_baseline] t=23595 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:28:55] [RUN exp1_baseline] t=23797 | episode_end len=824 reward=-21.00 | eps=0.0100
[12:29:05] [RUN exp1_baseline] t=24079 | episode_end len=1138 reward=-19.00 | eps=0.0100
[12:29:10] [RUN exp1_baseline] t=24263 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:29:17] [RUN exp1_baseline] t=24466 | episode_end len=824 reward=-21.00 | eps=0.0100
[12:29:24] [RUN exp1_baseline] t=24733 | episode_end len=1085 reward=-21.00 | eps=0.0100
[12:29:30] [RUN exp1_baseline] t=24927 | episode_end len=792 reward=-21.00 | eps=0.0100
[12:29:39] [RUN exp1_baseline] t=25140 | episode_end len=886 reward=-21.00 | eps=0.0100
[12:29:51] [RUN exp1_baseline] t=25382 | episode_end len=984 reward=-19.00 | eps=0.0100
[12:30:04] [RUN exp1_baseline] t=25630 | episode_end len=1008 reward=-21.00 | eps=0.0100
[12:30:14] [RUN exp1_baseline] t=25872 | episode_end len=993 reward=-21.00 | eps=0.0100
[12:30:20] [RUN exp1_baseline] t=26058 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:30:26] [RUN exp1_baseline] t=26241 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:30:33] [RUN exp1_baseline] t=26474 | episode_end len=942 reward=-21.00 | eps=0.0100
[12:30:42] [RUN exp1_baseline] t=26690 | episode_end len=884 reward=-21.00 | eps=0.0100
[12:30:52] [RUN exp1_baseline] t=26922 | episode_end len=945 reward=-21.00 | eps=0.0100
[12:31:04] [RUN exp1_baseline] t=27140 | episode_end len=880 reward=-21.00 | eps=0.0100
[12:31:13] [RUN exp1_baseline] t=27374 | episode_end len=964 reward=-21.00 | eps=0.0100
[12:31:19] [RUN exp1_baseline] t=27576 | episode_end len=825 reward=-21.00 | eps=0.0100
[12:31:26] [RUN exp1_baseline] t=27810 | episode_end len=957 reward=-20.00 | eps=0.0100
[12:31:34] [RUN exp1_baseline] t=28044 | episode_end len=958 reward=-20.00 | eps=0.0100
[12:31:41] [RUN exp1_baseline] t=28251 | episode_end len=843 reward=-21.00 | eps=0.0100
[12:31:47] [RUN exp1_baseline] t=28436 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:31:53] [RUN exp1_baseline] t=28637 | episode_end len=826 reward=-21.00 | eps=0.0100
[12:31:59] [RUN exp1_baseline] t=28828 | episode_end len=792 reward=-21.00 | eps=0.0100
[12:32:04] [RUN exp1_baseline] t=29011 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:32:10] [RUN exp1_baseline] t=29216 | episode_end len=852 reward=-21.00 | eps=0.0100
[12:32:18] [RUN exp1_baseline] t=29441 | episode_end len=918 reward=-20.00 | eps=0.0100
[12:32:24] [RUN exp1_baseline] t=29625 | episode_end len=764 reward=-21.00 | eps=0.0100
[12:32:33] [RUN exp1_baseline] t=29838 | episode_end len=870 reward=-21.00 | eps=0.0100
[12:32:42] [RUN exp1_baseline] t=30039 | episode_end len=824 reward=-21.00 | eps=0.0100
[12:32:57] [RUN exp1_baseline] t=30251 | episode_end len=861 reward=-21.00 | eps=0.0100
[12:33:09] [RUN exp1_baseline] t=30474 | episode_end len=902 reward=-21.00 | eps=0.0100
[12:33:18] [RUN exp1_baseline] t=30671 | episode_end len=825 reward=-21.00 | eps=0.0100
